CEO,companyName,description,exchange,industry,issueType,sector,symbol,tags,website
Todd Meredith,Healthcare Realty Trust Incorporated,"Healthcare Realty Trust Inc is a healthcare facility real estate investment trust. It focuses on owning, leasing, and managing outpatient facilities and other healthcare properties. It generates all of its revenue in the United States.",New York Stock Exchange,REITs,cs,Real Estate,HR,"['Real Estate', 'REIT - Healthcare Facilities', 'REITs']",http://www.healthcarerealty.com
Jeffrey J. Jones,H&R Block Inc.,"H&R Block Inc is a consumer tax services provider. It provides assisted income tax return preparation, digital do-it-yourself tax solutions and other services and products related to income tax return preparation to the public in the United States.",New York Stock Exchange,Personal Services,cs,Consumer Cyclical,HRB,"['Consumer Cyclical', 'Personal Services']",http://www.hrblock.com
John P. Groetelaars,Hill-Rom Holdings Inc,"Hill-Rom Holdings Inc is engaged in selling and renting patient support and near-patient technologies and services, and health information technology solutions in the U.S and Canada.",New York Stock Exchange,Medical Instruments & Equipment,cs,Healthcare,HRC,"['Healthcare', 'Medical Instruments & Supplies', 'Medical Instruments & Equipment']",http://www.hill-rom.com
Lawrence H. Silber,Herc Holdings Inc.,"Herc Holdings Inc is an engaged in the industrial equipment rental business. Its fleet include aerial, earthmoving, material handling, trucks and trailers and lighting. It also provides pumping solutions, power generation, climate control equipment.",New York Stock Exchange,Consulting & Outsourcing,cs,Industrials,HRI,"['Industrials', 'Rental & Leasing Services', 'Consulting & Outsourcing']",https://www.hercrentals.com
James P. Snee,Hormel Foods Corporation,"Hormel Foods Corp is engaged in manufacturing and sale of variety of food products primarily, pork and turkey and the marketing of those products throughout the United States and internationally.",New York Stock Exchange,Consumer Packaged Goods,cs,Consumer Defensive,HRL,"['Consumer Defensive', 'Packaged Foods', 'Consumer Packaged Goods']",http://www.hormelfoods.com
Mark L. Baum,Harrow Health Inc.,"Imprimis Pharmaceuticals Inc is engaged in the development, production and sale of medications that offer competitive advantages and serve unmet needs. The company intends to deliver high-quality medications to physicians and patients.",NASDAQ Capital Market,Drug Manufacturers,cs,Healthcare,HROW,"['Healthcare', 'Drug Manufacturers - Specialty & Generic', 'Drug Manufacturers']",https://www.imprimisrx.com
William M. Brown,Harris Corporation,"Harris Corp develops, manufactures and sells technology-based solutions that serve government and commercial customers' mission-critical challenges. Its products include communications systems, serving defense and public safety networks amongst other.",New York Stock Exchange,Communication Equipment,cs,Technology,HRS,"['Technology', 'Communication Equipment']",http://www.harris.com
Bruce Lucas,Heritage Insurance Holdings Inc.,"Heritage Insurance Holdings Inc is a property and casualty insurance holding company. The company provides personal residential insurance for single-family homeowners and condominium owners, rental property insurance and commercial residential insurance.",New York Stock Exchange,Insurance - Property & Casualty,cs,Financial Services,HRTG,"['Financial Services', 'Insurance - Property & Casualty']",http://www.heritagepci.com
Barry D. Quart,Heron Therapeutics Inc.,"Heron Therapeutics Inc is a biotechnology company, developing products to address unmet medical needs. It is developing novel, patient-focused solutions that apply its science and technologies to already-approved pharmacological agents.",NASDAQ Capital Market,Drug Manufacturers,cs,Healthcare,HRTX,"['Healthcare', 'Drug Manufacturers - Specialty & Generic', 'Drug Manufacturers']",http://www.herontx.com
Robert Pomeroy,Horizon Technology Finance Corporation,"Horizon Technology Finance Corp is a specialty finance company that lends to and invests in development-stage companies in the technology, life science, healthcare information and services and cleantech industries, referred to as Target Industries.",Nasdaq Global Select,Asset Management,cs,Financial Services,HRZN,"['Financial Services', 'Asset Management']",http://www.horizontechfinance.com
,HSBC Holdings plc.,"HSBC Holdings PLC provides commercial banking, global banking, and wealth management among other services. It operates in Europe, Asia, the Middle East and North Africa, and North America.",New York Stock Exchange,Banks,cs,Financial Services,HSBC,"['Financial Services', 'Banks - Global', 'Banks']",http://www.hsbc.com
F. Nicholas Grasberger,Harsco Corporation,"Harsco Corp is a provider of industrial services and engineered products. The company has three reportable segment namely Harsco Metals and Minerals, Harsco Industrial and Harsco Rail.",New York Stock Exchange,Metals & Mining,cs,Basic Materials,HSC,"['Basic Materials', 'Industrial Metals & Minerals', 'Metals & Mining']",http://www.harsco.com
Philippe Deschamps,Helius Medical Technologies Inc.,"Helius Medical Technologies Inc is engaged in the business of medical technology industry. The Company's operations include the development, licensing and acquisition of non-invasive platform technologies.",NASDAQ Capital Market,Medical Devices,cs,Healthcare,HSDT,"['Healthcare', 'Medical Devices']",http://www.heliusmedical.com
Adam Gridley,Histogenics Corporation,Histogenics Corp is a regenerative medicine company engaged in developing and commercializing products in the musculoskeletal segment of the marketplace.,NASDAQ Capital Market,Biotechnology,cs,Healthcare,HSGX,"['Healthcare', 'Biotechnology']",http://www.histogenics.com
Stanley M. Bergman,Henry Schein Inc.,"Henry Schein Inc is a provider of healthcare products and services to office-based dental, animal health and medical practitioners. The company also serves dental laboratories, government and institutional health care clinics.",Nasdaq Global Select,Medical Distribution,cs,Healthcare,HSIC,"['Healthcare', 'Medical Distribution']",http://www.henryschein.com
Krishnan Rajagopalan,Heidrick & Struggles International Inc.,"Heidrick & Struggles International Inc is an advisory firm providing executive search, leadership consulting and culture shaping services.",Nasdaq Global Select,Employment Services,cs,Industrials,HSII,"['Industrials', 'Staffing & Outsourcing Services', 'Employment Services']",http://www.heidrick.com
Kevin S. Wilson,Heska Corporation,"Heska Corp is engaged in developing, manufacturing, marketing, selling and supporting veterinary products. The Company's core focus is on the canine and feline companion animal health markets.",NASDAQ Capital Market,Medical Diagnostics & Research,cs,Healthcare,HSKA,"['Healthcare', 'Diagnostics & Research', 'Medical Diagnostics & Research']",http://www.heska.com
Jeffrey E. Eberwein,Hudson Global Inc.,"Hudson Global Inc is a staffing firm that provides permanent recruitment, contract consulting, legal eDiscovery, recruitment process outsourcing and talent management solutions. It also provides other recruitment and talent-related solutions.",Nasdaq Global Select,Employment Services,cs,Industrials,HSON,"['Industrials', 'Staffing & Outsourcing Services', 'Employment Services']",http://www.hudson.com
James F. Risoleo,Host Hotels & Resorts Inc.,Host Hotels & Resorts Inc is a lodging real estate investment trust. It owns properties and conducts operations. Its properties include luxury and upper-upscale hotels.,New York Stock Exchange,REITs,cs,Real Estate,HST,"['Real Estate', 'REIT - Hotel & Motel', 'REITs']",http://www.hosthotels.com
Robert A. Frist,HealthStream Inc.,"HealthStream Inc provides software-as-a-service-based workforce development solutions for healthcare organizations. Its segment includes Healthstream workforce solutions, Healthstream patient experience solutions, and Healthstream provider solutions.",Nasdaq Global Select,Application Software,cs,Technology,HSTM,"['Technology', 'Health Information Services', 'Application Software']",http://www.healthstream.com
Michele G. Buck,The Hershey Company,"The Hershey Co operates as a confectionery manufacturer in the United States engaged in the chocolate industry. The firm has more than 80 brands, including Hershey's, Reese's, Kit Kat, Twizzlers, and Ice Breakers with a business presence across the world.",New York Stock Exchange,Consumer Packaged Goods,cs,Consumer Defensive,HSY,"['Consumer Defensive', 'Confectioners', 'Consumer Packaged Goods']",http://www.thehersheycompany.com
Jay H. Shah,Hersha Hospitality Trust Class A of Beneficial Interest,"Hersha Hospitality Trust is a self-advised Maryland real estate investment trust. It invests in institutional hotels in urban markets including New York, Washington DC, and South Florida. Its portfolio consists of approximately 46 full service properties.",New York Stock Exchange,REITs,cs,Real Estate,HT,"['Real Estate', 'REIT - Hotel & Motel', 'REITs']",http://www.hersha.com
Scott D. Peters,Healthcare Trust of America Inc. Class A,Healthcare Trust of America Inc is a real estate investment trust that owns and operates medical office buildings in the United States. The company generates all of its revenue in the United States.,New York Stock Exchange,REITs,cs,Real Estate,HTA,"['Real Estate', 'REIT - Healthcare Facilities', 'REITs']",http://www.htareit.com
Dana L. Stonestreet,HomeTrust Bancshares Inc.,"HomeTrust Bancshares Inc is a bank holding company. It is engaged in attracting deposits from public & investing funds, along with borrowed funds, in loans secured by first & second mortgages on one-to four-family residences.",Nasdaq Global Select,Banks,cs,Financial Services,HTBI,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.hometrustbancshares.com
Lawrence D. McGovern,Heritage Commerce Corp,"Heritage Commerce Corporation operates as a bank holding company. The company through its subsidiary offers commercial banking services to small and medium-sized businesses and their owners, managers and employees.",Nasdaq Global Select,Banks,cs,Financial Services,HTBK,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.heritagecommercecorp.com
